x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-50.56263611305821,-1.417606817806417,3654.38586563173,-50.56263611305821,-1.4171565241813846,3653.05397068897,2899.769242007343,-1.4691305710293325,4172.822184837691,2899.769242007343,-1.46873605626115,4171.49028989493
-50.56280827818194,-1.765841948586771,3660.2001811597534,-50.56280827818194,-1.765150604800448,3658.556468953347,2877.8124446505844,-1.7969277250976108,4171.448489446123,2877.8124446505844,-1.796333168644225,4169.804777239717
-50.56299831505772,-2.423947070185133,3666.0357801153336,-50.56299831505772,-2.422655052726874,3663.7951368707354,2856.541159562871,-2.433080302106814,4170.299348511918,2856.541159562871,-2.4319842064778454,4168.058705267319
-50.563209189466264,-3.540181006389419,3671.9664461528105,-50.563209189466264,-3.5374405701455185,3668.7076762573543,2835.919520704775,-3.5246886570862803,4169.438139529719,2835.919520704775,-3.522380637675539,4166.179369634262
-50.563444581203235,-5.323392267994506,3678.0936288850335,-50.563444581203235,-5.317218949772554,3673.203317425672,2815.9142740167576,-5.280517899695107,4168.9566576825055,2815.9142740167576,-5.275329571633174,4164.066346223144
-50.56370909155987,-8.056469824991115,3684.552792333947,-50.56370909155987,-8.042367186111845,3677.1565440469853,2796.4945351977253,-7.985576116117962,4168.981394783042,2796.4945351977253,-7.9737077659134155,4161.585146496081
-50.56400854575923,-12.107000455557612,3691.5183843794216,-50.56400854575923,-12.07521734107594,3680.402188674957,2777.6315749534097,-12.01312792346286,4169.678447074382,2777.6315749534097,-11.986288509542279,4158.562251369917
-50.56435042690034,-17.932185823250563,3699.206021350631,-50.56435042690034,-17.86259216014038,3682.7333054861147,2759.298628778312,-17.831352399745274,4171.255645219284,2759.298628778312,-17.77230909304689,4154.7829293547675
-50.56474451472494,-26.073711652628862,3707.869823656174,-50.56474451472494,-25.926876257884643,3683.903884782735,2741.4707289916064,-26.000399754917215,4173.959841751621,2741.4707289916064,-25.875147656932644,4149.993902878182
-50.56520385555136,-37.136558677326626,3717.7920803737898,-50.56520385555136,-36.83939374028631,3683.639231584872,2724.1245572281073,-37.15386126401272,4178.066533422492,2724.1245572281073,-36.89887052776982,4143.913684633574
-50.565746269250944,-51.74362570153446,3729.261574690158,-50.565746269250944,-51.16838112804226,3681.6576767081056,2707.238315597565,-51.95653968864055,4183.858149820408,2707.238315597565,-51.459806408311536,4136.254251838354
-50.56639673932105,-70.45599376784433,3742.53622999481,-50.56639673932105,-69.39320822415448,3677.707961349793,2690.7916138268697,-71.02822984425629,4191.586667217567,2690.7916138268697,-70.10433169495208,4126.7583985725505
-50.5671913684621,-93.64955657592445,3757.786470710867,-50.5671913684621,-91.77973827172255,3671.625903358477,2674.765367264436,-94.82328705001031,4201.416939965184,2674.765367264436,-93.18621010990404,4115.256372612794
-50.5681843230221,-121.34500989564631,3775.018952944546,-50.5681843230221,-118.22080525986628,3663.410695020959,2659.141696122121,-123.46087981390556,4213.350401051456,2659.141696122121,-120.70461724760236,4101.742143127869
-50.569460782597815,-152.99698812525847,3793.9848754223412,-50.569460782597815,-148.05639960111708,3653.3166308002483,2643.903809543633,-156.50984704978552,4227.133336143228,2643.903809543633,-152.1150182483237,4086.465091521135
-50.571162878104204,-187.2576960780265,3814.0814128289717,-50.571162878104204,-179.89597960084043,3641.9517371600573,2629.0358485680918,-192.7426137783964,4242.158262967474,2629.0358485680918,-186.13466796476774,4070.028587298559
-50.573546800617585,-221.74369592735312,3834.2591035554865,-50.573546800617585,-211.47008670996436,3630.3704947145866,2614.522645978645,-229.88562899658413,4257.37123001166,2614.522645978645,-220.57057102836112,4053.482621170761
-50.57712821540007,-252.85453480547338,3852.952971307189,-50.57712821540007,-239.5404270284818,3620.1429175278236,2600.3493120700464,-264.41202949704814,4271.202771627295,2600.3493120700464,-252.20028527270782,4038.39271784793
-50.62691752036027,-275.7252777473591,3868.079052981346,-50.62691752036027,-259.90342610120376,3613.3894906702108,2586.433713459839,-291.45136296441467,4281.53283797421,2586.433713459839,-276.7399483678607,4026.843275663075
